Date,Start Time (hr),Perf. Measure (s)
09/04/2025,6,325.4
09/04/2025,7,327.4
09/04/2025,8,325.5
09/04/2025,9,324.1
09/04/2025,10,324
09/04/2025,11,324.5
14/04/2025,6,326.6
14/04/2025,7,329.1
14/04/2025,8,326.8
14/04/2025,9,325.1
14/04/2025,10,324.9
14/04/2025,11,325.5
15/04/2025,6,326.6
15/04/2025,7,329.1
15/04/2025,8,326.8
15/04/2025,9,325.1
15/04/2025,10,324.9
15/04/2025,11,325.5
16/04/2025,6,325.4
16/04/2025,7,327.4
16/04/2025,8,325.5
16/04/2025,9,324.1
16/04/2025,10,324
16/04/2025,11,324.5
17/04/2025,6,326.3
17/04/2025,7,328.7
17/04/2025,8,326.5
17/04/2025,9,324.8
17/04/2025,10,324.7
17/04/2025,11,325.3
18/04/2025,6,326
18/04/2025,7,328.2
18/04/2025,8,326.1
18/04/2025,9,324.5
18/04/2025,10,324.4
18/04/2025,11,325
21/04/2025,6,326.6
21/04/2025,7,329.1
21/04/2025,8,326.8
21/04/2025,9,325.1
21/04/2025,10,324.9
21/04/2025,11,325.5
22/04/2025,6,326.6
22/04/2025,7,329.1
22/04/2025,8,326.8
22/04/2025,9,325.1
22/04/2025,10,324.9
22/04/2025,11,325.5
28/04/2025,6,326.6
28/04/2025,7,329.1
28/04/2025,8,326.8
28/04/2025,9,325.1
28/04/2025,10,324.9
28/04/2025,11,325.5
29/04/2025,6,326.6
29/04/2025,7,329.1
29/04/2025,8,326.8
29/04/2025,9,325.1
29/04/2025,10,324.9
29/04/2025,11,325.5
30/04/2025,6,325.4
30/04/2025,7,327.4
30/04/2025,8,325.5
30/04/2025,9,324.1
30/04/2025,10,324
30/04/2025,11,324.5
01/05/2025,6,334.9
01/05/2025,7,329
01/05/2025,8,326.7
01/05/2025,9,325
01/05/2025,10,324.9
01/05/2025,11,325.5
02/05/2025,6,326.2
02/05/2025,7,328.5
02/05/2025,8,326.3
02/05/2025,9,324.7
02/05/2025,10,324.6
02/05/2025,11,325.1
05/05/2025,6,326.9
05/05/2025,7,329.5
05/05/2025,8,327
05/05/2025,9,325.2
05/05/2025,10,325.1
05/05/2025,11,325.7
06/05/2025,6,326.9
06/05/2025,7,329.5
06/05/2025,8,327
06/05/2025,9,325.2
06/05/2025,10,325.1
06/05/2025,11,325.7
07/05/2025,6,325.6
07/05/2025,7,336
07/05/2025,8,325.7
07/05/2025,9,324.3
07/05/2025,10,324.1
07/05/2025,11,324.6
08/05/2025,6,326.6
08/05/2025,7,329
08/05/2025,8,335.1
08/05/2025,9,325
08/05/2025,10,324.9
08/05/2025,11,325.5
09/05/2025,6,326.2
09/05/2025,7,328.5
09/05/2025,8,326.3
09/05/2025,9,324.7
09/05/2025,10,324.6
09/05/2025,11,325.1
12/05/2025,6,326.9
12/05/2025,7,329.5
12/05/2025,8,327
12/05/2025,9,325.2
12/05/2025,10,325.1
12/05/2025,11,325.7
13/05/2025,6,326.9
13/05/2025,7,329.5
13/05/2025,8,327
13/05/2025,9,325.2
13/05/2025,10,325.1
13/05/2025,11,325.7
14/05/2025,6,325.6
14/05/2025,7,327.6
