Date,Start Time (hr),Perf. Measure (s)
09/04/2025,6,360
09/04/2025,7,480
09/04/2025,8,540
09/04/2025,9,480
09/04/2025,10,600
09/04/2025,11,480
14/04/2025,6,360
14/04/2025,7,420
14/04/2025,8,420
14/04/2025,9,480
14/04/2025,10,480
14/04/2025,11,540
15/04/2025,6,360
15/04/2025,7,420
15/04/2025,8,480
15/04/2025,9,480
15/04/2025,10,480
15/04/2025,11,540
16/04/2025,6,360
16/04/2025,7,420
16/04/2025,8,480
16/04/2025,9,480
16/04/2025,10,540
16/04/2025,11,540
17/04/2025,6,480
17/04/2025,7,480
17/04/2025,8,600
17/04/2025,9,600
17/04/2025,10,660
17/04/2025,11,720
18/04/2025,6,420
18/04/2025,7,540
18/04/2025,8,540
18/04/2025,9,600
18/04/2025,10,660
18/04/2025,11,660
21/04/2025,6,360
21/04/2025,7,480
21/04/2025,8,480
21/04/2025,9,480
21/04/2025,10,480
21/04/2025,11,600
22/04/2025,6,360
22/04/2025,7,480
22/04/2025,8,480
22/04/2025,9,540
22/04/2025,10,540
22/04/2025,11,600
28/04/2025,6,360
28/04/2025,7,540
28/04/2025,8,540
28/04/2025,9,480
28/04/2025,10,540
28/04/2025,11,540
29/04/2025,6,360
29/04/2025,7,480
29/04/2025,8,540
29/04/2025,9,540
29/04/2025,10,540
29/04/2025,11,600
30/04/2025,6,360
30/04/2025,7,480
30/04/2025,8,540
30/04/2025,9,540
30/04/2025,10,480
30/04/2025,11,540
01/05/2025,6,360
01/05/2025,7,420
01/05/2025,8,480
01/05/2025,9,540
01/05/2025,10,720
01/05/2025,11,1260
02/05/2025,6,360
02/05/2025,7,480
02/05/2025,8,480
02/05/2025,9,540
02/05/2025,10,540
02/05/2025,11,540
05/05/2025,6,360
05/05/2025,7,420
05/05/2025,8,480
05/05/2025,9,480
05/05/2025,10,480
05/05/2025,11,540
06/05/2025,6,360
06/05/2025,7,480
06/05/2025,8,540
06/05/2025,9,480
06/05/2025,10,540
06/05/2025,11,540
07/05/2025,6,360
07/05/2025,7,480
07/05/2025,8,540
07/05/2025,9,480
07/05/2025,10,540
07/05/2025,11,600
08/05/2025,6,300
08/05/2025,7,420
08/05/2025,8,540
08/05/2025,9,480
08/05/2025,10,540
08/05/2025,11,720
09/05/2025,6,300
09/05/2025,7,420
09/05/2025,8,480
09/05/2025,9,480
09/05/2025,10,540
09/05/2025,11,540
12/05/2025,6,300
12/05/2025,7,420
12/05/2025,8,540
12/05/2025,9,480
12/05/2025,10,480
12/05/2025,11,540
13/05/2025,6,300
13/05/2025,7,420
13/05/2025,8,480
13/05/2025,9,480
13/05/2025,10,480
13/05/2025,11,540
14/05/2025,6,360
14/05/2025,7,420
14/05/2025,8,540
14/05/2025,9,480
14/05/2025,10,540
14/05/2025,11,540
15/05/2025,6,360
15/05/2025,7,420
15/05/2025,8,540
15/05/2025,9,480
15/05/2025,10,540
15/05/2025,11,540
16/05/2025,6,360
16/05/2025,8,480
16/05/2025,9,480
16/05/2025,10,540
16/05/2025,11,600
19/05/2025,6,360
19/05/2025,7,540
19/05/2025,8,480
19/05/2025,9,480
19/05/2025,10,480
19/05/2025,11,540
20/05/2025,6,300
20/05/2025,7,480
20/05/2025,8,540
20/05/2025,9,480
20/05/2025,10,480
20/05/2025,11,540
21/05/2025,6,360
21/05/2025,7,420
21/05/2025,8,540
21/05/2025,9,540
21/05/2025,10,720
21/05/2025,11,720
22/05/2025,6,420
22/05/2025,7,540
22/05/2025,8,600
22/05/2025,9,660
22/05/2025,10,660
22/05/2025,11,660
23/05/2025,6,360
23/05/2025,7,480
23/05/2025,8,600
23/05/2025,9,540
23/05/2025,10,600
23/05/2025,11,720
26/05/2025,6,360
26/05/2025,7,480
26/05/2025,8,600
26/05/2025,9,600
26/05/2025,10,600
26/05/2025,11,660
27/05/2025,6,420
27/05/2025,7,540
27/05/2025,8,660
27/05/2025,9,600
27/05/2025,10,600
27/05/2025,11,720
28/05/2025,6,360
28/05/2025,7,480
28/05/2025,8,600
28/05/2025,9,600
28/05/2025,10,600
28/05/2025,11,720
29/05/2025,6,420
29/05/2025,7,540
29/05/2025,8,600
29/05/2025,9,540
29/05/2025,10,540
29/05/2025,11,780
30/05/2025,6,420
30/05/2025,7,480
30/05/2025,8,540
30/05/2025,9,600
30/05/2025,10,660
30/05/2025,11,720
02/06/2025,6,360
02/06/2025,7,540
02/06/2025,8,600
